Subbasin,AGRL %,Av_PERCO,Av_WYLD,Av_SURQ,Av_LATQ,Av_GWQ,SED_FILTER,TN_FILTERW,TP_FILTERW
1,18.5,192,759.17071,23.96,492.48,230.12,75.04,1.3,0.54
2,6.2,186,873.93771,9.88,663.8,189.98,30.51,1.52,0.41
3,5.6,179,761.23871,24.22,529.81,196.37,79.63,1.68,0.36
4,4.2,147,877.22657,9.69,713.97,145.58,38.36,1.9,0.48
5,40.8,250,777.09314,24.91,408.04,326.69,57.14,2.85,1.06
6,26.6,281,772.49029,20,384.43,349.45,27.85,1.86,0.8
7,77.9,312,792.30471,358.58,158.32,261.19,652.05,5.98,2.5
8,76.4,378,807.899,337.77,127.87,324.84,442.07,4.11,1.16
9,72.7,360,800.16286,311.5,162.36,309.64,533.58,3.96,2.09
10,51.6,374,804.03114,282.97,178.02,325.58,532.54,3.6,1.63
11,65,338,810.27357,361.81,143.78,289.06,575.58,4.38,2.06
12,46.3,363,809.33057,253.73,221.46,317.11,540.08,3.05,1.24
13,52.2,377,799.82143,282.79,170.9,328.51,480.55,3.26,1.56
14,41.6,439,875.84571,251.52,208.22,395.19,441.71,2.82,1.3
15,49.2,322,805.55871,287.51,228.1,275.04,638.27,4.32,1.69
16,84.3,478,878.76543,328.66,100.68,426.91,432.97,4.03,2.29
17,70.8,357,816.27743,305.48,187.02,307.23,656.08,4.34,1.89
18,50.7,338,814.734,300.88,207.8,290.37,530.96,3.43,1.46
19,66.1,467,932.28757,328.61,165.09,416.55,484,4.57,2.25
20,69.6,402,866.06243,327.85,163.61,355.7,543.52,5.28,2.34
